pwd, "Prints the path of the working directory, starting from the root."
mkdir, "Allows the user to create directories."
cp, "Copies files and directories from one location to another."
scp, "Copies files between servers in a secure way."
gcc, "Compiles C and C++ language."
kill, "Terminates a process."
chmod, "Changes permissions of files and directories."
chown, "Changes the owner and/or group of a file."
echo, "Displays lines of text or strings."
find, "Finds files and directories and performs subsequent operations on them."
ls, "Lists all the files and directories under a specified directory."
rmdir, "Removes empty directories."
mv, "Moves files and directories from one directory to another or renames a file or directory."
man, "Opens the linux manual."
make, "Executes commands in the makefile to update one or more target names."
top, "Provides a dynamic real-time view of a running system."
cat, "Concatenate files, or standard input, to standard output."
df, "Displays the amount of disk space available on the file system containing each file name argument."
exit, "Causes normal process termination."
finger, "Looks up users on a remote machine."
cd, "Changes directory."
rm, "Removes a file or directory."
ssh, "Provides a secure encrypted connection between two hosts over an insecure network."
g++, "GNU c++ compiler invocation command."
ps, "Displays information about a selection of the active processes."
who, "Prints information about users who are currently logged in."
alias, "Provides a string value that replaces a command name when it is encountered."
grep, "Searches plain-text data sets for lines that match a regular expression."
clear, "Clears the terminal."
free, "Displays the total amount of free and used physical and swap memory in the system."